input_x,input_y,input_z,output_x,output_y,output_z
5,-265,-45,6.23,-330.33,-50.56
5,-265,-35,6.24,-330.59,-34.88
5,-265,-25,6.23,-330.44,-20.85
5,-265,-15,6.23,-330.13,-7.6
5,-265,-5,6.22,-329.74,5.08
5,-265,5,6.22,-329.74,-5.08
5,-265,15,6.23,-330.13,7.6
5,-265,25,6.23,-330.44,20.85
5,-265,35,6.24,-330.59,34.88
5,-265,45,6.23,-330.33,50.56
5,-255,-85,6.26,-319.04,-99.44
5,-255,-75,6.28,-320.44,-81.56
5,-255,-65,6.29,-320.79,-66.2
5,-255,-55,6.29,-320.71,-51.75
5,-255,-45,6.28,-320.38,-37.86
5,-255,-35,6.27,-319.86,-24.4
5,-255,-25,6.26,-319.22,-11.3
5,-255,-15,6.25,-318.5,1.47
5,-255,-5,6.23,-317.74,13.93
5,-255,5,6.23,-317.74,-13.93
5,-255,15,6.25,-318.5,-1.47
5,-255,25,6.26,-319.22,11.3
5,-255,35,6.27,-319.86,24.4
5,-255,45,6.28,-320.38,37.86
5,-255,55,6.29,-320.71,51.75
5,-255,65,6.29,-320.79,66.2
5,-255,75,6.28,-320.44,81.56
5,-255,85,6.26,-319.04,99.44
5,-245,-105,6.31,-309.25,-119.51
5,-245,-95,6.34,-310.52,-102.83
5,-245,-85,6.35,-310.98,-87.5
5,-245,-75,6.35,-310.99,-72.86
5,-245,-65,6.34,-310.7,-58.7
5,-245,-55,6.33,-310.18,-44.91
5,-245,-45,6.32,-309.48,-31.44
5,-245,-35,6.3,-308.65,-18.25
5,-245,-25,6.28,-307.72,-5.34
5,-245,-15,6.26,-306.73,7.32
5,-245,-5,6.24,-305.7,19.72
5,-245,5,6.24,-305.7,-19.72
5,-245,15,6.26,-306.73,-7.32
5,-245,25,6.28,-307.72,5.34
5,-245,35,6.3,-308.65,18.25
5,-245,45,6.32,-309.48,31.44
5,-245,55,6.33,-310.18,44.91
5,-245,65,6.34,-310.7,58.7
5,-245,75,6.35,-310.99,72.86
5,-245,85,6.35,-310.98,87.5
5,-245,95,6.34,-310.52,102.83
5,-245,105,6.31,-309.25,119.51
5,-235,-125,6.35,-298.3,-143.68
5,-235,-115,6.39,-300.15,-126.61
5,-235,-105,6.4,-300.99,-110.95
5,-235,-95,6.41,-301.27,-95.99
5,-235,-85,6.41,-301.18,-81.49
5,-235,-75,6.4,-300.79,-67.34
5,-235,-65,6.39,-300.17,-53.5
5,-235,-55,6.37,-299.36,-39.93
5,-235,-45,6.35,-298.4,-26.62
5,-235,-35,6.33,-297.32,-13.55
5,-235,-25,6.3,-296.15,-0.71
5,-235,-15,6.27,-294.92,11.89
5,-235,-5,6.25,-293.67,24.26
5,-235,5,6.25,-293.67,-24.26
5,-235,15,6.27,-294.92,-11.89
5,-235,25,6.3,-296.15,0.71
5,-235,35,6.33,-297.32,13.55
5,-235,45,6.35,-298.4,26.62
5,-235,55,6.37,-299.36,39.93
5,-235,65,6.39,-300.17,53.5
5,-235,75,6.4,-300.79,67.34
5,-235,85,6.41,-301.18,81.49
5,-235,95,6.41,-301.27,95.99
5,-235,105,6.4,-300.99,110.95
5,-235,115,6.39,-300.15,126.61
5,-235,125,6.35,-298.3,143.68
5,-225,-145,6.35,-285.82,-170.59
5,-225,-135,6.42,-289.04,-152.18
5,-225,-125,6.46,-290.54,-135.97
5,-225,-115,6.47,-291.29,-120.6
5,-225,-105,6.48,-291.55,-105.73
5,-225,-95,6.48,-291.43,-91.23
5,-225,-85,6.47,-291.02,-77.02
5,-225,-75,6.45,-290.36,-63.08
5,-225,-65,6.43,-289.49,-49.39
5,-225,-55,6.41,-288.44,-35.92
5,-225,-45,6.38,-287.25,-22.68
5,-225,-35,6.35,-285.94,-9.67
5,-225,-25,6.32,-284.55,3.12
5,-225,-15,6.29,-283.11,15.69
5,-225,-5,6.26,-281.64,28.04
5,-225,5,6.26,-281.64,-28.04
5,-225,15,6.29,-283.11,-15.69
5,-225,25,6.32,-284.55,-3.12
5,-225,35,6.35,-285.94,9.67
5,-225,45,6.38,-287.25,22.68
5,-225,55,6.41,-288.44,35.92
5,-225,65,6.43,-289.49,49.39
5,-225,75,6.45,-290.36,63.08
5,-225,85,6.47,-291.02,77.02
5,-225,95,6.48,-291.43,91.23
5,-225,105,6.48,-291.55,105.73
5,-225,115,6.47,-291.29,120.6
5,-225,125,6.46,-290.54,135.97
5,-225,135,6.42,-289.04,152.18
5,-225,145,6.35,-285.82,170.59
5,-215,-155,6.43,-276.57,-179.6
5,-215,-145,6.49,-279.27,-162.39
5,-215,-135,6.53,-280.74,-146.48
5,-215,-125,6.55,-281.53,-131.2
5,-215,-115,6.55,-281.83,-116.33
5,-215,-105,6.55,-281.76,-101.78
5,-215,-95,6.54,-281.37,-87.48
5,-215,-85,6.53,-280.72,-73.42
5,-215,-75,6.51,-279.83,-59.58
5,-215,-65,6.48,-278.74,-45.95
5,-215,-55,6.45,-277.48,-32.54
5,-215,-45,6.42,-276.08,-19.33
5,-215,-35,6.39,-274.57,-6.35
5,-215,-25,6.35,-272.96,6.42
5,-215,-15,6.31,-271.3,18.97
5,-215,-5,6.27,-269.62,31.31
5,-215,5,6.27,-269.62,-31.31
5,-215,15,6.31,-271.3,-18.97
5,-215,25,6.35,-272.96,-6.42
5,-215,35,6.39,-274.57,6.35
5,-215,45,6.42,-276.08,19.33
5,-215,55,6.45,-277.48,32.54
5,-215,65,6.48,-278.74,45.95
5,-215,75,6.51,-279.83,59.58
5,-215,85,6.53,-280.72,73.42
5,-215,95,6.54,-281.37,87.48
5,-215,105,6.55,-281.76,101.78
5,-215,115,6.55,-281.83,116.33
5,-215,125,6.55,-281.53,131.2
5,-215,135,6.53,-280.74,146.48
5,-215,145,6.49,-279.27,162.39
5,-215,155,6.43,-276.57,179.6
5,-205,-165,6.5,-266.54,-190.37
5,-205,-155,6.57,-269.22,-173.57
5,-205,-145,6.6,-270.79,-157.78
5,-205,-135,6.63,-271.7,-142.52
5,-205,-125,6.64,-272.11,-127.62
5,-205,-115,6.64,-272.14,-112.99
5,-205,-105,6.63,-271.83,-98.59
5,-205,-95,6.62,-271.22,-84.39
5,-205,-85,6.59,-270.37,-70.4
5,-205,-75,6.57,-269.28,-56.61
5,-205,-65,6.54,-267.99,-43.01
5,-205,-55,6.5,-266.53,-29.61
5,-205,-45,6.46,-264.93,-16.42
5,-205,-35,6.42,-263.2,-3.44
5,-205,-25,6.38,-261.39,9.32
5,-205,-15,6.33,-259.52,21.86
5,-205,-5,6.28,-257.62,34.17
5,-205,5,6.28,-257.62,-34.17
5,-205,15,6.33,-259.52,-21.86
5,-205,25,6.38,-261.39,-9.32
5,-205,35,6.42,-263.2,3.44
5,-205,45,6.46,-264.93,16.42
5,-205,55,6.5,-266.53,29.61
5,-205,65,6.54,-267.99,43.01
5,-205,75,6.57,-269.28,56.61
5,-205,85,6.59,-270.37,70.4
5,-205,95,6.62,-271.22,84.39
5,-205,105,6.63,-271.83,98.59
5,-205,115,6.64,-272.14,112.99
5,-205,125,6.64,-272.11,127.62
5,-205,135,6.63,-271.7,142.52
5,-205,145,6.6,-270.79,157.78
5,-205,155,6.57,-269.22,173.57
5,-205,165,6.5,-266.54,190.37
5,-195,-185,7.08,-276.11,-188.22
5,-195,-175,6.57,-256.05,-202.1
5,-195,-165,6.64,-258.93,-185.46
5,-195,-155,6.68,-260.69,-169.71
5,-195,-145,6.71,-261.78,-154.43
5,-195,-135,6.73,-262.35,-139.48
5,-195,-125,6.73,-262.52,-124.76
5,-195,-115,6.73,-262.33,-110.26
5,-195,-105,6.71,-261.83,-95.94
5,-195,-95,6.69,-261.05,-81.79
5,-195,-85,6.67,-260.01,-67.83
5,-195,-75,6.63,-258.74,-54.04
5,-195,-65,6.6,-257.27,-40.45
5,-195,-55,6.55,-255.61,-27.05
5,-195,-45,6.51,-253.81,-13.85
5,-195,-35,6.09,-237.57,-83.71
5,-195,-25,6.14,-239.46,-72.28
5,-195,-15,6.19,-241.46,-60.65
5,-195,-5,6.24,-243.53,-48.8
5,-195,5,6.24,-243.53,48.8
5,-195,15,6.19,-241.46,60.65
5,-195,25,6.14,-239.46,72.28
5,-195,35,6.09,-237.57,83.71
5,-195,45,6.51,-253.81,13.85
5,-195,55,6.55,-255.61,27.05
5,-195,65,6.6,-257.27,40.45
5,-195,75,6.63,-258.74,54.04
5,-195,85,6.67,-260.01,67.83
5,-195,95,6.69,-261.05,81.79
5,-195,105,6.71,-261.83,95.94
5,-195,115,6.73,-262.33,110.26
5,-195,125,6.73,-262.52,124.76
5,-195,135,6.73,-262.35,139.48
5,-195,145,6.71,-261.78,154.43
5,-195,155,6.68,-260.69,169.71
5,-195,165,6.64,-258.93,185.46
5,-195,175,6.57,-256.05,202.1
5,-195,185,7.08,-276.11,188.22
5,-185,-195,5.38,-199.11,-268.4
5,-185,-185,6.63,-245.15,-214.51
5,-185,-175,6.71,-248.37,-197.91
5,-185,-165,6.77,-250.41,-182.15
5,-185,-155,6.8,-251.73,-166.85
5,-185,-145,6.82,-252.52,-151.84
5,-185,-135,6.83,-252.88,-137.05
5,-185,-125,6.83,-252.86,-122.44
5,-185,-115,6.82,-252.5,-108.0
5,-185,-105,6.81,-251.84,-93.71
5,-185,-95,6.78,-250.9,-79.58
5,-185,-85,6.75,-249.69,-65.62
5,-185,-75,6.71,-248.25,-51.82
5,-185,-65,5.93,-219.46,-118.81
5,-185,-55,5.97,-221.04,-108.0
5,-185,-45,6.02,-222.82,-97.02
5,-185,-35,6.07,-224.77,-85.85
5,-185,35,6.07,-224.77,85.85
5,-185,45,6.02,-222.82,97.02
5,-185,55,5.97,-221.04,108.0
5,-185,65,5.93,-219.46,118.81
5,-185,75,6.71,-248.25,51.82
5,-185,85,6.75,-249.69,65.62
5,-185,95,6.78,-250.9,79.58
5,-185,105,6.81,-251.84,93.71
5,-185,115,6.82,-252.5,108.0
5,-185,125,6.83,-252.86,122.44
5,-185,135,6.83,-252.88,137.05
5,-185,145,6.82,-252.52,151.84
5,-185,155,6.8,-251.73,166.85
5,-185,165,6.77,-250.41,182.15
5,-185,175,6.71,-248.37,197.91
5,-185,185,6.63,-245.15,214.51
5,-185,195,5.38,-199.11,268.4
5,-175,-195,6.08,-212.7,-247.33
5,-175,-185,5.96,-208.71,-239.38
5,-175,-175,6.85,-239.9,-195.04
5,-175,-165,6.9,-241.51,-179.7
5,-175,-155,6.93,-242.56,-164.64
5,-175,-145,6.95,-243.15,-149.79
5,-175,-135,6.95,-243.34,-135.1
5,-175,-125,6.95,-243.17,-120.55
5,-175,-115,6.93,-242.68,-106.13
5,-175,-105,6.91,-241.88,-91.85
5,-175,-95,6.88,-240.79,-77.7
5,-175,-85,5.81,-203.38,-141.56
5,-175,-75,5.85,-204.64,-131.1
5,-175,75,5.85,-204.64,131.1
5,-175,85,5.81,-203.38,141.56
5,-175,95,6.88,-240.79,77.7
5,-175,105,6.91,-241.88,91.85
5,-175,115,6.93,-242.68,106.13
5,-175,125,6.95,-243.17,120.55
5,-175,135,6.95,-243.34,135.1
5,-175,145,6.95,-243.15,149.79
5,-175,155,6.93,-242.56,164.64
5,-175,165,6.9,-241.51,179.7
5,-175,175,6.85,-239.9,195.04
5,-175,185,5.96,-208.71,239.38
5,-175,195,6.08,-212.7,247.33
5,-165,-205,6.11,-201.51,-258.24
5,-165,-195,5.96,-196.81,-250.43
5,-165,-185,5.87,-193.68,-241.62
5,-165,-175,5.8,-191.41,-232.37
5,-165,-165,7.04,-232.43,-177.83
5,-165,-155,7.07,-233.29,-162.93
5,-165,-145,7.08,-233.73,-148.17
5,-165,-135,7.08,-233.8,-133.53
5,-165,-125,7.08,-233.52,-119.01
5,-165,-115,7.06,-232.91,-104.59
5,-165,-105,5.69,-187.92,-163.32
5,-165,-95,5.72,-188.73,-153.12
5,-165,95,5.72,-188.73,153.12
5,-165,105,5.69,-187.92,163.32
5,-165,115,7.06,-232.91,104.59
5,-165,125,7.08,-233.52,119.01
5,-165,135,7.08,-233.8,133.53
5,-165,145,7.08,-233.73,148.17
5,-165,155,7.07,-233.29,162.93
5,-165,165,7.04,-232.43,177.83
5,-165,175,5.8,-191.41,232.37
5,-165,185,5.87,-193.68,241.62
5,-165,195,5.96,-196.81,250.43
5,-165,205,6.11,-201.51,258.24
5,-155,-215,6.17,-191.32,-268.61
5,-155,-205,5.98,-185.52,-261.15
5,-155,-195,5.87,-181.84,-252.4
5,-155,-185,5.78,-179.15,-243.15
5,-155,-175,5.71,-177.13,-233.63
5,-155,-165,5.67,-175.62,-223.94
5,-155,-155,7.23,-223.99,-161.62
5,-155,-145,7.24,-224.32,-146.93
5,-155,-135,7.24,-224.29,-132.32
5,-155,-125,5.59,-173.38,-184.32
5,-155,-115,5.6,-173.65,-174.28
5,-155,-105,5.62,-174.23,-164.19
5,-155,105,5.62,-174.23,164.19
5,-155,115,5.6,-173.65,174.28
5,-155,125,5.59,-173.38,184.32
5,-155,135,7.24,-224.29,132.32
5,-155,145,7.24,-224.32,146.93
5,-155,155,7.23,-223.99,161.62
5,-155,165,5.67,-175.62,223.94
5,-155,175,5.71,-177.13,233.63
5,-155,185,5.78,-179.15,243.15
5,-155,195,5.87,-181.84,252.4
5,-155,205,5.98,-185.52,261.15
5,-155,215,6.17,-191.32,268.61
5,-145,-225,6.31,-182.94,-278.09
5,-145,-215,6.03,-175.0,-271.56
5,-145,-205,5.88,-170.58,-262.94
5,-145,-195,5.77,-167.4,-253.7
5,-145,-185,5.69,-164.99,-244.16
5,-145,-175,5.62,-163.12,-234.45
5,-145,-165,5.58,-161.71,-224.62
5,-145,-155,5.54,-160.69,-214.73
5,-145,-145,7.41,-214.94,-146.01
5,-145,-135,5.51,-159.68,-194.82
5,-145,-125,5.51,-159.67,-184.82
5,-145,125,5.51,-159.67,184.82
5,-145,135,5.51,-159.68,194.82
5,-145,145,7.41,-214.94,146.01
5,-145,155,5.54,-160.69,214.73
5,-145,165,5.58,-161.71,224.62
5,-145,175,5.62,-163.12,234.45
5,-145,185,5.69,-164.99,244.16
5,-145,195,5.77,-167.4,253.7
5,-145,205,5.88,-170.58,262.94
5,-145,215,6.03,-175.0,271.56
5,-145,225,6.31,-182.94,278.09
5,-135,-225,6.13,-165.53,-281.62
5,-135,-215,5.93,-160.03,-273.25
5,-135,-205,5.79,-156.25,-264.06
5,-135,-195,5.68,-153.38,-254.5
5,-135,-185,5.6,-151.13,-244.75
5,-135,-175,5.53,-149.37,-234.89
5,-135,-165,5.48,-148.02,-224.95
5,-135,-155,5.45,-147.04,-214.98
5,-135,-145,5.42,-146.39,-205.0
5,-135,-135,5.41,-146.07,-195.0
5,-135,135,5.41,-146.07,195.0
5,-135,145,5.42,-146.39,205.0
5,-135,155,5.45,-147.04,214.98
5,-135,165,5.48,-148.02,224.95
5,-135,175,5.53,-149.37,234.89
5,-135,185,5.6,-151.13,244.75
5,-135,195,5.68,-153.38,254.5
5,-135,205,5.79,-156.25,264.06
5,-135,215,5.93,-160.03,273.25
5,-135,225,6.13,-165.53,281.62
5,-125,-235,6.31,-157.86,-291.05
5,-125,-225,6.02,-150.39,-283.36
5,-125,-215,5.83,-145.8,-274.27
5,-125,-205,5.7,-142.38,-264.71
5,-125,-195,5.59,-139.71,-254.91
5,-125,-185,5.5,-137.57,-244.99
5,-125,-175,5.43,-135.87,-235.0
5,-125,-165,5.38,-134.55,-224.97
5,-125,-155,5.34,-133.58,-214.93
5,-125,-145,5.32,-132.94,-204.9
5,-125,145,5.32,-132.94,204.9
5,-125,155,5.34,-133.58,214.93
5,-125,165,5.38,-134.55,224.97
5,-125,175,5.43,-135.87,235.0
5,-125,185,5.5,-137.57,244.99
5,-125,195,5.59,-139.71,254.91
5,-125,205,5.7,-142.38,264.71
5,-125,215,5.83,-145.8,274.27
5,-125,225,6.02,-150.39,283.36
5,-125,235,6.31,-157.86,291.05
5,-115,-235,6.17,-142.01,-293.18
5,-115,-225,5.92,-136.2,-284.34
5,-115,-215,5.74,-132.1,-274.81
5,-115,-205,5.61,-128.93,-264.98
5,-115,-195,5.49,-126.37,-254.99
5,-115,-185,5.4,-124.3,-244.92
5,-115,-175,5.33,-122.64,-234.81
5,-115,-165,5.28,-121.33,-224.7
5,-115,-155,5.23,-120.35,-214.59
5,-115,155,5.23,-120.35,214.59
5,-115,165,5.28,-121.33,224.7
5,-115,175,5.33,-122.64,234.81
5,-115,185,5.4,-124.3,244.92
5,-115,195,5.49,-126.37,254.99
5,-115,205,5.61,-128.93,264.98
5,-115,215,5.74,-132.1,274.81
5,-115,225,5.92,-136.2,284.34
5,-115,235,6.17,-142.01,293.18
5,-105,-245,6.48,-136.04,-302.34
5,-105,-235,6.08,-127.72,-294.27
5,-105,-225,5.84,-122.68,-284.85
5,-105,-215,5.66,-118.89,-275.0
5,-105,-205,5.52,-115.87,-264.95
5,-105,-195,5.4,-113.39,-254.79
5,-105,-185,5.3,-111.36,-244.59
5,-105,-175,5.22,-109.71,-234.37
5,-105,-165,5.16,-108.39,-224.16
5,-105,-155,5.11,-107.38,-213.98
5,-105,155,5.11,-107.38,213.98
5,-105,165,5.16,-108.39,224.16
5,-105,175,5.22,-109.71,234.37
5,-105,185,5.3,-111.36,244.59
5,-105,195,5.4,-113.39,254.79
5,-105,205,5.52,-115.87,264.95
5,-105,215,5.66,-118.89,275.0
5,-105,225,5.84,-122.68,284.85
5,-105,235,6.08,-127.72,294.27
5,-105,245,6.48,-136.04,302.34
5,-95,-245,6.37,-120.96,-303.92
5,-95,-235,6.02,-114.32,-294.82
5,-95,-225,5.78,-109.73,-285.0
5,-95,-215,5.59,-106.14,-274.9
5,-95,-205,5.43,-103.23,-264.66
5,-95,-195,5.31,-100.81,-254.35
5,-95,-185,5.2,-98.79,-244.01
5,-95,-175,5.11,-97.13,-233.68
5,-95,-165,5.04,-95.78,-223.38
5,-95,165,5.04,-95.78,223.38
5,-95,175,5.11,-97.13,233.68
5,-95,185,5.2,-98.79,244.01
5,-95,195,5.31,-100.81,254.35
5,-95,205,5.43,-103.23,264.66
5,-95,215,5.59,-106.14,274.9
5,-95,225,5.78,-109.73,285.0
5,-95,235,6.02,-114.32,294.82
5,-95,245,6.37,-120.96,303.92
5,-85,-255,4.59,-78.06,-324.96
5,-85,-245,6.32,-107.47,-304.66
5,-85,-235,5.98,-101.64,-295.0
5,-85,-225,5.73,-97.34,-284.88
5,-85,-215,5.52,-93.9,-274.57
5,-85,-205,5.36,-91.06,-264.16
5,-85,-195,5.22,-88.66,-253.7
5,-85,-185,5.1,-86.65,-243.24
5,-85,-175,5.0,-84.97,-232.79
5,-85,175,5.0,-84.97,232.79
5,-85,185,5.1,-86.65,243.24
5,-85,195,5.22,-88.66,253.7
5,-85,205,5.36,-91.06,264.16
5,-85,215,5.52,-93.9,274.57
5,-85,225,5.73,-97.34,284.88
5,-85,235,5.98,-101.64,295.0
5,-85,245,6.32,-107.47,304.66
5,-85,255,4.59,-78.06,324.96
5,-75,-255,6.9,-103.48,-314.04
5,-75,-245,6.33,-95.01,-304.96
5,-75,-235,5.98,-89.66,-294.92
5,-75,-225,5.7,-85.57,-284.56
5,-75,-215,5.48,-82.23,-274.06
5,-75,-205,5.29,-79.42,-263.48
5,-75,-195,5.14,-77.05,-252.89
5,-75,-185,5.0,-75.02,-242.29
5,-75,-175,4.89,-73.31,-231.73
5,-75,175,4.89,-73.31,231.73
5,-75,185,5.0,-75.02,242.29
5,-75,195,5.14,-77.05,252.89
5,-75,205,5.29,-79.42,263.48
5,-75,215,5.48,-82.23,274.06
5,-75,225,5.7,-85.57,284.56
5,-75,235,5.98,-89.66,294.92
5,-75,245,6.33,-95.01,304.96
5,-75,255,6.9,-103.48,314.04
5,-65,-255,6.98,-90.76,-314.71
5,-65,-245,6.42,-83.46,-304.98
5,-65,-235,6.03,-78.43,-294.65
5,-65,-225,5.73,-74.48,-284.08
5,-65,-215,5.48,-71.21,-273.41
5,-65,-205,5.26,-68.43,-262.68
5,-65,-195,5.08,-66.06,-251.95
5,-65,-185,4.92,-64.02,-241.23
5,-65,185,4.92,-64.02,241.23
5,-65,195,5.08,-66.06,251.95
5,-65,205,5.26,-68.43,262.68
5,-65,215,5.48,-71.21,273.41
5,-65,225,5.73,-74.48,284.08
5,-65,235,6.03,-78.43,294.65
5,-65,245,6.42,-83.46,304.98
5,-65,255,6.98,-90.76,314.71
5,-55,-255,7.23,-79.5,-314.97
5,-55,-245,6.62,-72.85,-304.82
5,-55,-235,6.19,-68.05,-294.25
5,-55,-225,5.84,-64.2,-283.5
5,-55,-215,5.54,-60.98,-272.67
5,-55,-205,5.29,-58.22,-261.8
5,-55,-195,5.08,-55.85,-250.94
5,-55,-185,4.89,-53.79,-240.09
5,-55,185,4.89,-53.79,240.09
5,-55,195,5.08,-55.85,250.94
5,-55,205,5.29,-58.22,261.8
5,-55,215,5.54,-60.98,272.67
5,-55,225,5.84,-64.2,283.5
5,-55,235,6.19,-68.05,294.25
5,-55,245,6.62,-72.85,304.82
5,-55,255,7.23,-79.5,314.97
5,-45,-265,4.43,-39.83,-331.82
5,-45,-255,7.73,-69.54,-314.99
5,-45,-245,7.03,-63.31,-304.55
5,-45,-235,6.52,-58.66,-293.78
5,-45,-225,6.1,-54.89,-282.87
5,-45,-215,5.75,-51.71,-271.9
5,-45,-205,5.44,-48.97,-260.9
5,-45,-195,5.18,-46.59,-249.91
5,-45,-185,4.95,-44.51,-238.94
5,-45,185,4.95,-44.51,238.94
5,-45,195,5.18,-46.59,249.91
5,-45,205,5.44,-48.97,260.9
5,-45,215,5.75,-51.71,271.9
5,-45,225,6.1,-54.89,282.87
5,-45,235,6.52,-58.66,293.78
5,-45,245,7.03,-63.31,304.55
5,-45,255,7.73,-69.54,314.99
5,-45,265,4.43,-39.83,331.82
5,-35,-265,10.16,-71.09,-324.63
5,-35,-255,8.7,-60.93,-314.89
5,-35,-245,7.86,-55.0,-304.22
5,-35,-235,7.21,-50.47,-293.29
5,-35,-225,6.68,-46.77,-282.25
5,-35,-215,6.23,-43.62,-271.16
5,-35,-205,5.84,-40.9,-260.04
5,-35,-195,5.5,-38.52,-248.94
5,-35,-185,5.2,-36.43,-237.85
5,-35,185,5.2,-36.43,237.85
5,-35,195,5.5,-38.52,248.94
5,-35,205,5.84,-40.9,260.04
5,-35,215,6.23,-43.62,271.16
5,-35,225,6.68,-46.77,282.25
5,-35,235,7.21,-50.47,293.29
5,-35,245,7.86,-55.0,304.22
5,-35,255,8.7,-60.93,314.89
5,-35,265,10.16,-71.09,324.63
5,-25,-265,12.59,-62.93,-324.88
5,-25,-255,10.75,-53.77,-314.74
5,-25,-245,9.61,-48.05,-303.9
5,-25,-235,8.73,-43.65,-292.85
5,-25,-225,8.0,-40.01,-281.7
5,-25,-215,7.38,-36.9,-270.51
5,-25,-205,6.84,-34.21,-259.3
5,-25,-195,6.37,-31.84,-248.1
5,-25,195,6.37,-31.84,248.1
5,-25,205,6.84,-34.21,259.3
5,-25,215,7.38,-36.9,270.51
5,-25,225,8.0,-40.01,281.7
5,-25,235,8.73,-43.65,292.85
5,-25,245,9.61,-48.05,303.9
5,-25,255,10.75,-53.77,314.74
5,-25,265,12.59,-62.93,324.88
5,-15,-265,18.65,-55.95,-324.97
5,-15,-255,15.84,-47.52,-314.6
5,-15,-245,14.03,-42.1,-303.65
5,-15,-235,12.63,-37.88,-292.52
5,-15,-225,11.46,-34.38,-281.29
5,-15,-215,10.46,-31.38,-270.02
5,-15,-205,9.59,-28.77,-258.74
5,-15,-195,8.83,-26.48,-247.47
5,-15,195,8.83,-26.48,247.47
5,-15,205,9.59,-28.77,258.74
5,-15,215,10.46,-31.38,270.02
5,-15,225,11.46,-34.38,281.29
5,-15,235,12.63,-37.88,292.52
5,-15,245,14.03,-42.1,303.65
5,-15,255,15.84,-47.52,314.6
5,-15,265,18.65,-55.95,324.97
5,-5,-265,39.82,-39.82,-324.99
5,-5,-255,33.68,-33.68,-314.52
5,-5,-245,29.67,-29.67,-303.52
5,-5,-235,26.54,-26.54,-292.33
5,-5,-225,23.94,-23.94,-281.07
5,-5,-215,21.71,-21.71,-269.76
5,-5,-205,19.77,-19.77,-258.44
5,-5,-195,18.05,-18.05,-247.14
5,-5,195,18.05,-18.05,247.14
5,-5,205,19.77,-19.77,258.44
5,-5,215,21.71,-21.71,269.76
5,-5,225,23.94,-23.94,281.07
5,-5,235,26.54,-26.54,292.33
5,-5,245,29.67,-29.67,303.52
5,-5,255,33.68,-33.68,314.52
5,-5,265,39.82,-39.82,324.99
5,5,-265,39.82,39.82,-324.99
5,5,-255,33.68,33.68,-314.52
5,5,-245,29.67,29.67,-303.52
5,5,-235,26.54,26.54,-292.33
5,5,-225,23.94,23.94,-281.07
5,5,-215,21.71,21.71,-269.76
5,5,-205,19.77,19.77,-258.44
5,5,-195,18.05,18.05,-247.14
5,5,195,18.05,18.05,247.14
5,5,205,19.77,19.77,258.44
5,5,215,21.71,21.71,269.76
5,5,225,23.94,23.94,281.07
5,5,235,26.54,26.54,292.33
5,5,245,29.67,29.67,303.52
5,5,255,33.68,33.68,314.52
5,5,265,39.82,39.82,324.99
5,15,-265,18.65,55.95,-324.97
5,15,-255,15.84,47.52,-314.6
5,15,-245,14.03,42.1,-303.65
5,15,-235,12.63,37.88,-292.52
5,15,-225,11.46,34.38,-281.29
5,15,-215,10.46,31.38,-270.02
5,15,-205,9.59,28.77,-258.74
5,15,-195,8.83,26.48,-247.47
5,15,195,8.83,26.48,247.47
5,15,205,9.59,28.77,258.74
5,15,215,10.46,31.38,270.02
5,15,225,11.46,34.38,281.29
5,15,235,12.63,37.88,292.52
5,15,245,14.03,42.1,303.65
5,15,255,15.84,47.52,314.6
5,15,265,18.65,55.95,324.97
5,25,-265,12.59,62.93,-324.88
5,25,-255,10.75,53.77,-314.74
5,25,-245,9.61,48.05,-303.9
5,25,-235,8.73,43.65,-292.85
5,25,-225,8.0,40.01,-281.7
5,25,-215,7.38,36.9,-270.51
5,25,-205,6.84,34.21,-259.3
5,25,-195,6.37,31.84,-248.1
5,25,195,6.37,31.84,248.1
5,25,205,6.84,34.21,259.3
5,25,215,7.38,36.9,270.51
5,25,225,8.0,40.01,281.7
5,25,235,8.73,43.65,292.85
5,25,245,9.61,48.05,303.9
5,25,255,10.75,53.77,314.74
5,25,265,12.59,62.93,324.88
5,35,-265,10.16,71.09,-324.63
5,35,-255,8.7,60.93,-314.89
5,35,-245,7.86,55.0,-304.22
5,35,-235,7.21,50.47,-293.29
5,35,-225,6.68,46.77,-282.25
5,35,-215,6.23,43.62,-271.16
5,35,-205,5.84,40.9,-260.04
5,35,-195,5.5,38.52,-248.94
5,35,-185,5.2,36.43,-237.85
5,35,185,5.2,36.43,237.85
5,35,195,5.5,38.52,248.94
5,35,205,5.84,40.9,260.04
5,35,215,6.23,43.62,271.16
5,35,225,6.68,46.77,282.25
5,35,235,7.21,50.47,293.29
5,35,245,7.86,55.0,304.22
5,35,255,8.7,60.93,314.89
5,35,265,10.16,71.09,324.63
5,45,-265,4.43,39.83,-331.82
5,45,-255,7.73,69.54,-314.99
5,45,-245,7.03,63.31,-304.55
5,45,-235,6.52,58.66,-293.78
5,45,-225,6.1,54.89,-282.87
5,45,-215,5.75,51.71,-271.9
5,45,-205,5.44,48.97,-260.9
5,45,-195,5.18,46.59,-249.91
5,45,-185,4.95,44.51,-238.94
5,45,185,4.95,44.51,238.94
5,45,195,5.18,46.59,249.91
5,45,205,5.44,48.97,260.9
5,45,215,5.75,51.71,271.9
5,45,225,6.1,54.89,282.87
5,45,235,6.52,58.66,293.78
5,45,245,7.03,63.31,304.55
5,45,255,7.73,69.54,314.99
5,45,265,4.43,39.83,331.82
5,55,-255,7.23,79.5,-314.97
